code,date,value
TVTVR,2016-07-17,60.5821
TVTVR,2016-07-16,93.1541
TVTVR,2016-07-15,76.3548
TVTVR,2016-07-14,86.4739
TVTVR,2016-07-13,39.4733
TVTVR,2016-07-12,57.0099
TVTVR,2016-07-11,80.8989
TVTVR,2016-07-10,62.3646
TVTVR,2016-07-09,32.8784
TVTVR,2016-07-08,31.7816
TVTVR,2016-07-07,24.1978
TVTVR,2016-07-06,79.9597
TVTVR,2016-07-05,86.2609
TVTVR,2016-07-04,47.507
TVTVR,2016-07-03,22.8727
TVTVR,2016-07-02,40.5219
TVTVR,2016-07-01,40.0973
TVTVR,2016-06-30,37.0222
TVTVR,2016-06-29,30.9726
TVTVR,2016-06-28,44.4449
TVTVR,2016-06-27,31.8576
TVTVR,2016-06-26,36.3892
TVTVR,2016-06-25,33.6851
TVTVR,2016-06-24,15.636
TVTVR,2016-06-23,18.6653
TVTVR,2016-06-22,21.1036
TVTVR,2016-06-21,16.9724
TVTVR,2016-06-20,31.5114
TVTVR,2016-06-19,44.4839
TVTVR,2016-06-18,41.8333
TVTVR,2016-06-17,22.7108
TVTVR,2016-06-16,32.4441
TVTVR,2016-06-15,44.1119
TVTVR,2016-06-14,27.052
TVTVR,2016-06-13,22.7063
TVTVR,2016-06-12,23.8615
TVTVR,2016-06-11,85.51
TVTVR,2016-06-10,68.0656
TVTVR,2016-06-09,73.1208
TVTVR,2016-06-08,87.8134
TVTVR,2016-06-07,39.5693
TVTVR,2016-06-06,58.8066
TVTVR,2016-06-05,35.1193
TVTVR,2016-06-04,31.6649
TVTVR,2016-06-03,31.0641
TVTVR,2016-06-02,84.8358
TVTVR,2016-06-01,44.3155
TVTVR,2016-05-31,35.5145
TVTVR,2016-05-30,42.5067
TVTVR,2016-05-29,45.5787
TVTVR,2016-05-28,42.8921
TVTVR,2016-05-27,42.5715
TVTVR,2016-05-26,78.1548
TVTVR,2016-05-25,92.523
TVTVR,2016-05-24,91.7545
TVTVR,2016-05-23,69.8112
TVTVR,2016-05-22,131.1583
TVTVR,2016-05-21,97.4446
TVTVR,2016-05-20,73.4604
TVTVR,2016-05-19,69.0895
TVTVR,2016-05-18,104.8956
TVTVR,2016-05-17,72.8734
TVTVR,2016-05-16,116.9889
TVTVR,2016-05-15,127.7323
TVTVR,2016-05-14,151.4558
TVTVR,2016-05-13,79.6165
TVTVR,2016-05-12,101.7253
TVTVR,2016-05-11,62.4254
TVTVR,2016-05-10,57.8255
TVTVR,2016-05-09,82.5416
TVTVR,2016-05-08,104.2705
TVTVR,2016-05-07,61.6427
TVTVR,2016-05-06,63.1688
TVTVR,2016-05-05,122.2444
TVTVR,2016-05-04,110.181
TVTVR,2016-05-03,42.3454
TVTVR,2016-05-02,45.2149
TVTVR,2016-05-01,108.5228
TVTVR,2016-04-30,75.311
TVTVR,2016-04-29,84.9628
TVTVR,2016-04-28,34.0525
TVTVR,2016-04-27,57.9489
TVTVR,2016-04-26,54.0427
TVTVR,2016-04-25,41.6265
TVTVR,2016-04-24,47.9343
TVTVR,2016-04-23,106.6561
TVTVR,2016-04-22,43.4766
TVTVR,2016-04-21,65.933
TVTVR,2016-04-20,39.8207
TVTVR,2016-04-19,93.8838
TVTVR,2016-04-18,77.9833
TVTVR,2016-04-17,123.7649
TVTVR,2016-04-16,88.7483
TVTVR,2016-04-15,66.9395
TVTVR,2016-04-14,68.1045
TVTVR,2016-04-13,65.6605
TVTVR,2016-04-12,65.6168
TVTVR,2016-04-11,80.6224
TVTVR,2016-04-10,124.2075
TVTVR,2016-04-09,46.4751
TVTVR,2016-04-08,80.117
TVTVR,2016-04-07,140.0285
TVTVR,2016-04-06,141.8251
TVTVR,2016-04-05,83.497
TVTVR,2016-04-04,82.5285
TVTVR,2016-04-03,147.7644
TVTVR,2016-04-02,86.0081
TVTVR,2016-04-01,76.7706
TVTVR,2016-03-31,76.2991
TVTVR,2016-03-30,80.3161
TVTVR,2016-03-29,49.8372
TVTVR,2016-03-28,77.6004
TVTVR,2016-03-27,62.9962
TVTVR,2016-03-26,159.1011
TVTVR,2016-03-25,126.6455
TVTVR,2016-03-24,89.8577
TVTVR,2016-03-23,60.2734
TVTVR,2016-03-22,79.3482
TVTVR,2016-03-21,61.6627
TVTVR,2016-03-20,79.3384
TVTVR,2016-03-19,53.8453
TVTVR,2016-03-18,58.3138
TVTVR,2016-03-17,66.0268
TVTVR,2016-03-16,61.7582
TVTVR,2016-03-15,62.3741
TVTVR,2016-03-14,62.1642
TVTVR,2016-03-13,55.5022
TVTVR,2016-03-12,46.3143
TVTVR,2016-03-11,56.0281
TVTVR,2016-03-10,61.4396
TVTVR,2016-03-09,54.4971
TVTVR,2016-03-08,48.7438
TVTVR,2016-03-07,57.7634
TVTVR,2016-03-06,51.9811
TVTVR,2016-03-05,27.1998
TVTVR,2016-03-04,65.3381
TVTVR,2016-03-03,68.3469
TVTVR,2016-03-02,92.6745
TVTVR,2016-03-01,81.187
TVTVR,2016-02-29,67.4939
TVTVR,2016-02-28,102.6723
TVTVR,2016-02-27,68.2155
TVTVR,2016-02-26,83.0318
TVTVR,2016-02-25,64.0025
TVTVR,2016-02-24,43.6791
TVTVR,2016-02-23,35.1847
TVTVR,2016-02-22,60.3685
TVTVR,2016-02-21,24.0543
TVTVR,2016-02-20,40.1754
TVTVR,2016-02-19,54.0394
TVTVR,2016-02-18,35.8381
TVTVR,2016-02-17,40.8648
TVTVR,2016-02-16,45.2219
TVTVR,2016-02-15,39.6084
TVTVR,2016-02-14,29.842
TVTVR,2016-02-13,41.8516
TVTVR,2016-02-12,44.591
TVTVR,2016-02-11,58.9783
TVTVR,2016-02-10,33.9925
TVTVR,2016-02-09,36.1675
TVTVR,2016-02-08,57.3426
TVTVR,2016-02-07,70.3677
TVTVR,2016-02-06,50.2245
TVTVR,2016-02-05,39.1676
TVTVR,2016-02-04,29.0873
TVTVR,2016-02-03,45.9291
TVTVR,2016-02-02,60.766
TVTVR,2016-02-01,54.2885
TVTVR,2016-01-31,63.4319
TVTVR,2016-01-30,90.9386
TVTVR,2016-01-29,31.8755
TVTVR,2016-01-28,35.8251
TVTVR,2016-01-27,62.062
TVTVR,2016-01-26,51.7186
TVTVR,2016-01-25,59.6365
TVTVR,2016-01-24,36.0827
TVTVR,2016-01-23,26.9726
TVTVR,2016-01-22,21.5075
TVTVR,2016-01-21,24.0752
TVTVR,2016-01-20,14.8089
TVTVR,2016-01-19,36.2859
TVTVR,2016-01-18,24.6226
TVTVR,2016-01-17,12.5729
TVTVR,2016-01-16,11.2481
TVTVR,2016-01-15,11.3913
TVTVR,2016-01-14,47.8754
TVTVR,2016-01-13,19.8194
TVTVR,2016-01-12,49.7158
TVTVR,2016-01-11,31.4215
TVTVR,2016-01-10,45.776
TVTVR,2016-01-09,30.0705
TVTVR,2016-01-08,23.0656
TVTVR,2016-01-07,19.4168
TVTVR,2016-01-06,40.1435
TVTVR,2016-01-05,40.191
TVTVR,2016-01-04,38.4275
TVTVR,2016-01-03,30.9093
TVTVR,2016-01-02,32.4716
TVTVR,2016-01-01,33.4599
TVTVR,2015-12-31,26.7444
TVTVR,2015-12-30,22.6466
TVTVR,2015-12-29,25.6294
TVTVR,2015-12-28,40.0611
TVTVR,2015-12-27,18.9957
TVTVR,2015-12-26,13.4304
TVTVR,2015-12-25,77.6906
TVTVR,2015-12-24,38.0638
TVTVR,2015-12-23,49.0963
TVTVR,2015-12-22,56.4968
TVTVR,2015-12-21,21.169
TVTVR,2015-12-20,24.6716
TVTVR,2015-12-19,41.9387
TVTVR,2015-12-18,35.5425
TVTVR,2015-12-17,38.8647
